q,qer,theoreticKeyRate,n,N,L,frozenBitsAlgorithm,numInfoQudits,maxListSize,errorProb,keyRate,timeRate,numTrials
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,14,1,0.995,0.371475586106521,0.00013883953125000016,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,14,2,0.995,0.355850586106521,0.0002129559453124996,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,15,1,1.0,0.3962406251802891,0.00014078247656249988,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,15,2,0.995,0.3806156251802891,0.00022161468750000023,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,15,3,0.995,0.371475586106521,0.00027110080468750075,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,16,1,1.0,0.42100566425405717,0.00013964692187499962,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,16,2,1.0,0.40538066425405717,0.00022388747656249986,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,17,1,1.0,0.4457707033278252,0.0001399967734374996,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,17,2,1.0,0.4301457033278252,0.00021769175781249928,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,18,1,0.665,0.4705357424015933,0.0001434683984375007,200
